센터번호,센터명,단독,공동,영업,합계,행정동수,상담원수(추정)
9001,자양,35425,24654,3213,63292,6,2.64
9002,휘경,28726,29195,2465,60386,7,2.52
9003,중부,23691,34172,9124,66987,12,2.79
9004,구의,24178,35104,3152,62434,5,2.6
9005,금호,10554,37518,2289,50361,7,2.1
9006,면목,31067,21489,2500,55056,5,2.29
9007,행당,28966,26965,2980,58911,7,2.45
9009,중화,22557,29881,1977,54415,5,2.27
9010,제기,29928,37838,4384,72150,6,3.01
9011,삼선,24531,32794,3074,60399,6,2.52
9012,중곡,32870,21864,2712,57446,5,2.39
9013,신내,12709,39326,2097,54132,5,2.26
9014,종로,30201,22329,7624,60154,10,2.51
9016,용산,26161,14702,4141,45004,9,1.88
9018,장안,17511,44310,3549,65370,4,2.72
9019,상봉,32766,26066,2432,61264,5,2.55
9020,성수,27338,20068,4444,51850,7,2.16
9021,정릉,20199,39779,3121,63099,9,2.63
9022,서부,17970,27440,10362,55772,15,2.32
