센터코드,센터명,자치구,행정동,요금용도코드,요금용도명,등급,법적산정제외,수용가수
9001,자양,광진구,구의제1동,NCH20,,6.0,0,1
9001,자양,광진구,구의제1동,NCH20,,10.0,0,2
9001,자양,광진구,구의제1동,NCH20,,65.0,0,1
9001,자양,광진구,구의제1동,NFH80,,6.0,0,1
9001,자양,광진구,구의제1동,NRC10,,4.0,0,3
9001,자양,광진구,구의제1동,NRH11,,4.0,0,478
9001,자양,광진구,구의제1동,NRH11,,6.0,0,249
9001,자양,광진구,구의제1동,NWH41,,10.0,0,1
9001,자양,광진구,능동,NAH36,,4.0,0,3
9001,자양,광진구,능동,NAH36,,6.0,0,1
9001,자양,광진구,능동,NAH36,,10.0,0,2
9001,자양,광진구,능동,NAH36,,16.0,0,1
9001,자양,광진구,능동,NAH36,,65.0,0,3
9001,자양,광진구,능동,NAH36,,100.0,0,2
9001,자양,광진구,능동,NAH36,,400.0,0,1
9001,자양,광진구,능동,NCH20,,2.0,0,1
9001,자양,광진구,능동,NCH20,,2.5,0,22
9001,자양,광진구,능동,NCH20,,3.0,0,3
9001,자양,광진구,능동,NCH20,,4.0,0,44
9001,자양,광진구,능동,NCH20,,5.0,0,1
9001,자양,광진구,능동,NCH20,,6.0,0,52
9001,자양,광진구,능동,NCH20,,10.0,0,58
9001,자양,광진구,능동,NCH20,,16.0,0,42
9001,자양,광진구,능동,NCH20,,25.0,0,16
9001,자양,광진구,능동,NCH20,,40.0,0,6
9001,자양,광진구,능동,NCH20,,65.0,0,2
9001,자양,광진구,능동,NCH20,,100.0,0,2
9001,자양,광진구,능동,NCH20,,250.0,0,1
9001,자양,광진구,능동,NFH80,,65.0,0,1
9001,자양,광진구,능동,NIH40,,16.0,0,1
9001,자양,광진구,능동,NOH30,,2.0,0,1
9001,자양,광진구,능동,NOH30,,2.5,0,13
9001,자양,광진구,능동,NOH30,,3.0,0,2
9001,자양,광진구,능동,NOH30,,4.0,0,12
9001,자양,광진구,능동,NOH30,,5.0,0,1
9001,자양,광진구,능동,NOH30,,6.0,0,15
9001,자양,광진구,능동,NOH30,,10.0,0,3
9001,자양,광진구,능동,NOH30,,16.0,0,2
9001,자양,광진구,능동,NOH30,,25.0,0,3
9001,자양,광진구,능동,NOH30,,40.0,0,1
