no,행정동,주센터번호,주센터명,운영센터,분할비중,센터수,단독,공동,영업,합계,is_downtown,난이도점수
1,능동,9001,자양,9001,9001(100.0%),1,5035,1946,330,7311,False,13006
2,자양제3동,9001,자양,9001,9001(100.0%),1,3022,7827,467,11316,False,15272
3,자양제4동,9001,자양,9001,9001(100.0%),1,9900,5639,778,16317,False,27773
4,화양동,9001,자양,9001,9001(100.0%),1,15575,7455,1472,24502,False,43021
5,석관동,9002,휘경,9002,9002(100.0%),1,0,0,6,6,False,18
6,이문제1동,9002,휘경,9002+9009,9002(52.2%)+9009(47.8%),2,8423,11624,626,20673,False,30348
7,전농제2동,9002,휘경,9002,9002(100.0%),1,1584,5945,360,7889,False,10193
8,청량리동,9002,휘경,9002+9010,9002(53.2%)+9010(46.8%),2,5139,4291,753,10183,False,16828
9,회기동,9002,휘경,9002,9002(100.0%),1,6370,2765,716,9851,False,17653
10,휘경제1동,9002,휘경,9002,9002(100.0%),1,4021,7596,419,12036,False,16895
11,휘경제2동,9002,휘경,9002,9002(100.0%),1,7772,6203,426,14401,False,23025
12,광희동,9003,중부,9003,9003(100.0%),1,1645,2696,2420,6761,True,13246
13,다산동,9003,중부,9003,9003(100.0%),1,4584,2572,555,7711,True,13405
14,동화동,9003,중부,9003,9003(100.0%),1,1168,2827,321,4316,False,6126
15,신당동,9003,중부,9003,9003(100.0%),1,3509,2901,933,7343,False,12718
16,신당제5동,9003,중부,9003,9003(100.0%),1,2568,2756,441,5765,False,9215
17,약수동,9003,중부,9003,9003(100.0%),1,907,6519,382,7808,False,9479
18,을지로동,9003,중부,9003,9003(100.0%),1,667,1556,1654,3877,True,7852
19,장충동,9003,중부,9003,9003(100.0%),1,3205,1363,499,5067,True,9270
20,청구동,9003,중부,9003,9003(100.0%),1,905,4240,250,5395,False,6800
21,필동,9003,중부,9003+9022,9003(96.0%)+9022(4.0%),2,1523,1176,922,3621,True,6988
22,황학동,9003,중부,9003,9003(100.0%),1,3078,5289,801,9168,False,13848
23,광장동,9004,구의,9004,9004(100.0%),1,1172,10362,499,12033,False,14203
24,구의제1동,9004,구의,9004+9001,9004(95.3%)+9001(4.7%),2,8354,6353,861,15568,False,25644
25,구의제3동,9004,구의,9004,9004(100.0%),1,3491,8703,766,12960,False,17983
26,자양제1동,9004,구의,9004+9001,9004(75.9%)+9001(24.1%),2,8204,4044,665,12913,False,22447
27,자양제2동,9004,구의,9004,9004(100.0%),1,4850,7429,527,12806,False,18710
28,금호1가동,9005,금호,9005,9005(100.0%),1,1122,5410,247,6779,False,8395
29,금호2.3가동,9005,금호,9005,9005(100.0%),1,3435,5803,470,9708,False,14083
30,금호4가동,9005,금호,9005,9005(100.0%),1,2014,4297,274,6585,False,9147
31,옥수동,9005,금호,9005,9005(100.0%),1,720,9950,347,11017,False,12431
32,응봉동,9005,금호,9005,9005(100.0%),1,1446,4223,120,5789,False,7475
33,한남동,9005,금호,9005+9016,9005(61.8%)+9016(38.2%),2,3152,4797,1410,9359,False,15331
34,행당제2동,9005,금호,9005+9007,9005(51.0%)+9007(49.0%),2,670,8320,219,9209,False,10317
35,망우본동,9006,면목,9006+9013,9006(52.5%)+9013(47.5%),2,9327,10131,1086,20544,False,32043
36,망우제3동,9006,면목,9006,9006(100.0%),1,6446,2471,280,9197,False,16203
37,면목제3.8동,9006,면목,9006,9006(100.0%),1,8356,4819,776,13951,False,23859
38,면목제4동,9006,면목,9006,9006(100.0%),1,4747,4595,303,9645,False,14998
39,면목제7동,9006,면목,9006,9006(100.0%),1,5815,5196,465,11476,False,18221
40,마장동,9007,행당,9007,9007(100.0%),1,5952,5792,550,12294,False,19346
41,사근동,9007,행당,9007,9007(100.0%),1,3784,1447,182,5413,False,9561
42,왕십리제2동,9007,행당,9007,9007(100.0%),1,3657,4278,287,8222,False,12453
43,용답동,9007,행당,9007+9020,9007(99.9%)+9020(0.1%),2,5435,3850,477,9762,False,16151
44,행당제1동,9007,행당,9007,9007(100.0%),1,6679,5391,876,12946,False,21377
45,묵제1동,9009,중화,9009,9009(100.0%),1,4764,9736,555,15055,False,20929
46,묵제2동,9009,중화,9009,9009(100.0%),1,5454,4127,439,10020,False,16352
47,이문제2동,9009,중화,9009,9009(100.0%),1,3125,5525,205,8855,False,12390
48,중화제2동,9009,중화,9009+9019,9009(65.5%)+9019(34.5%),2,10321,5285,575,16181,False,27652
49,신설동,9010,제기,9010,9010(100.0%),1,0,0,2,2,False,6
50,왕십리도선동,9010,제기,9010+9007,9010(57.1%)+9007(42.9%),2,3090,9598,773,13461,False,18097
51,용신동,9010,제기,9010,9010(100.0%),1,9061,14969,1482,25512,False,37537
52,전농제1동,9010,제기,9010,9010(100.0%),1,9420,7839,849,18108,False,29226
53,제기동,9010,제기,9010,9010(100.0%),1,9220,5525,1321,16066,False,27928
54,돈암제1동,9011,삼선,9011+9021,9011(98.8%)+9021(1.2%),2,1308,5102,165,6575,False,8213
55,보문동,9011,삼선,9011,9011(100.0%),1,3928,4681,429,9038,False,13824
56,삼선동,9011,삼선,9011+9014,9011(59.1%)+9014(40.9%),2,6214,5700,797,12711,False,20519
57,안암동,9011,삼선,9011,9011(100.0%),1,6780,5351,914,13045,False,21653
58,종암동,9011,삼선,9011,9011(100.0%),1,7453,11771,713,19937,False,28816
59,구의제2동,9012,중곡,9012,9012(100.0%),1,5742,6135,628,12505,False,19503
60,중곡제1동,9012,중곡,9012,9012(100.0%),1,5884,3305,539,9728,False,16690
61,중곡제2동,9012,중곡,9012,9012(100.0%),1,7051,3927,546,11524,False,19667
62,중곡제3동,9012,중곡,9012,9012(100.0%),1,6058,2924,430,9412,False,16330
63,중곡제4동,9012,중곡,9012,9012(100.0%),1,8135,5573,569,14277,False,23550
64,상봉제1동,9013,신내,9013,9013(100.0%),1,2932,7285,393,10610,False,14328
65,신내1동,9013,신내,9013,9013(100.0%),1,2157,12315,762,15234,False,18915
66,신내2동,9013,신내,9013,9013(100.0%),1,32,9104,239,9375,False,9885
67,중화제1동,9013,신내,9013,9013(100.0%),1,3964,4899,293,9156,False,13706
68,숭인제1동,9014,종로,9014,9014(100.0%),1,2078,783,200,3061,False,5539
69,숭인제2동,9014,종로,9014,9014(100.0%),1,1901,6297,356,8554,False,11167
70,이화동,9014,종로,9014,9014(100.0%),1,3472,1422,777,5671,False,10697
71,종로1.2.3.4가동,9014,종로,9014,9014(100.0%),1,1257,3028,3337,7622,True,15553
72,종로5.6가동,9014,종로,9014,9014(100.0%),1,2521,2082,901,5504,True,9827
73,창신제1동,9014,종로,9014,9014(100.0%),1,1801,1222,327,3350,False,5805
74,창신제2동,9014,종로,9014,9014(100.0%),1,4131,786,297,5214,False,9939
75,창신제3동,9014,종로,9014,9014(100.0%),1,1100,1856,99,3055,False,4353
76,혜화동,9014,종로,9014,9014(100.0%),1,8771,3060,1096,12927,False,23890
77,남영동,9016,용산,9016+9022,9016(99.9%)+9022(0.1%),2,2132,1645,690,4467,False,7979
78,보광동,9016,용산,9016,9016(100.0%),1,3600,604,229,4433,False,8491
