행정동,2026,2027,2028,2029,2030,주요사업,비고
이문동,152,4321,0,3628,0,이문1구역 잔여 + 이문3구역 아이파크자이 + 이문4구역,동대문구
한남동,0,0,0,6190,0,한남3구역 디에이치한남,용산구
보광동,0,0,0,0,1311,한남2구역,용산구 / 한남4구역은 2031 예정
장위동,0,2840,0,1532,0,장위6구역 + 장위10구역,성북구
성수동1가,0,0,0,3014,0,성수전략정비구역 1지구,성동구
성수동2가,0,0,0,0,1439,성수전략정비구역 4지구,성동구
창신동,0,0,0,1038,0,창신10구역,종로구
상봉동,0,0,0,999,0,상봉9구역 더샵퍼스트월드,중랑구
신당동,0,0,0,0,1159,신당8구역,중구
용두동,0,0,0,0,699,용두1-6지구 70%,동대문구
제기동,0,0,0,0,300,용두1-6지구 30%,동대문구
순화동,102,0,0,0,0,순화동 6-11 도시형생활주택(롯데건설),중구 서부센터
교남동,228,0,0,0,0,교남동 28 주상복합(HL디앤아이한라),종로구 서부센터
영천동,315,0,0,0,0,영천동 69-20 주상복합(반도건설),서대문구 서부센터
